pk_id,id_own_org
15369721132764684288,10546172455171890636
15370012841914458135,10546443563703528350
15370090916534603830,10545511425556317340
15370142973660553303,10546050787347118047
15370449246788575287,10691192243901380541
15370457354185269341,10546443563692258283
15370783454312583251,10907434497368054887
15370789076991004699,10546443563834620333
15370791028541935621,10546443563911679092
15370791153792241696,10546443563911679092
15370791232590635098,10546443563911679092
15370791674762551308,10546443563911679092
15370791916308320307,10546443563911679092
15370795877341909080,10546443563911679092
15370796334110003271,10546443563834620333
15370805124607823930,10546172455165407389
15370817175405252681,10907434497448008499
15370835776451432470,10545461672704547216
15370836399360102480,10546172455201046153
15370836540414550090,10546172455201046153
15371086879365582928,10546443563911679092
15371088273606762546,10546443563911679092
15371093427928223747,10546443563710671640
15371119947287679022,10546172455231187969
15371125562626068482,10545511425556317340
15371127239592693812,10546172455201046153
15371136730891604034,10546443563661237356
15371170759380623370,10545461672704547216
15371194225823633452,10546443563711682309
15371219129692381226,10546172455230192013
15371434281482117209,10545724654290198141
15371436559572197460,10545724654290198141
15371457423546048528,10546443563692258283
15371467899352965206,10546443563967858836
15371480286483243017,10546172455230657690
15371491750690480187,10546443563799772137
15371499360277815326,10546172455165730907
15371504663224442970,10546172455175291597
15371509612201168982,10907434497411062909
15371529425803857973,10545724654290198141
15371531607760490555,10546443563799772137
15371534577977839649,10907434497391783668
15371534594167853105,10546443563799772137
15371548797758922786,10546172455152379564
15371552096511905854,10546443563802055015
15371552204808839199,10545461672704872675
15371555477661999163,10546172455171944653
15371555615184838748,10546172455171944653
15371561864660049938,10545724654290198141
15371568621159505981,10546172455168836324
15371568690906583076,10907434497382431669
15371573602554011686,10545724654283269505
15371579573292552261,10546443563922606250
15371601327624867866,10545724654302717179
15371632657976840197,10546443563714122199
15371636601302081539,10545055917999668908
15371636950112985104,10546443563674358804
15371639586434371654,10546443563864306384
15371640659425419341,10545724654297153764
15371642253860720655,10545511425559720956
15371642958285688929,10546443563880993145
15371643126804439136,10545724654297153764
15371644500954898502,10545724654297153764
15371644952924704794,10546443563731750404
15371644988249137233,10545724654297153764
15371648163488260163,10545724654277447605
15371649264308506646,10691192243909690608
15371649271300415548,10691192243909690608
15371649944079360092,10907434497472870847
15371650362100469799,10545724654277447605
15371655441373257826,10545724654297153764
15371655794575593552,10907434497472870847
15371656336240595003,10546172455192081735
15371659158013141036,10545724654297153764
15371671901839614001,10545724654297153764
15371673370995249223,10546443563807378579
15371682638809063476,10907434497298300357
15371686275442593865,10545724654297153764
15371789848193065003,10546443563687465487
15371792371838668836,10546443563789106759
